,smiles,id,hlogp,MW,logP,HBD,HBA,TPSA,qed,RotableBonds
73,N1(C2C=CC=C(C=2)NC(CCC)=O)CC(CC1=O)C(Cl)=O,MCULE-1842071772,H21P250,308.765,2.5435000000000008,1.0,3.0,66.48,0.8500645081665509,5.0
74,C(OCC1=CC=CC=C1)(=O)NC1CCN(CCO)C1,MCULE-3716843649,H19P090,264.325,0.9794,2.0,4.0,61.8,0.8319618226452983,5.0
75,C1(C(=O)N2CCN(CC2)C2C=CC=CC=2)=NOC(C2=CC=C(C=C2)C)=N1,MCULE-4979612911,H26P300,348.4060000000001,3.007420000000001,0.0,5.0,62.470000000000006,0.7280258176633048,3.0
76,C12=NN=C(SCC(=O)C3C=CC(=CC=3)OC)N1C1=C(C=CC(=C1)C(=O)NC(C)C)C(=O)N2CCC,MCULE-5072883625,H35P350,493.58900000000034,3.5760000000000023,1.0,9.0,107.59,0.2804827801232604,9.0
77,O=S(C1C2C(=NSN=2)C=CC=1)(N1CCN(CC2=CC3=C(OCO3)C=C2)CC1)=O,MCULE-5417260405,H28P190,418.5000000000003,1.9265,0.0,8.0,84.86000000000001,0.6399651702496891,4.0
78,C(NCCC1C=CC=CC=1)(=O)C(C)OC1=CC=CC=C1,MCULE-9787549248,H20P280,269.344,2.812800000000001,1.0,2.0,38.33,0.8754057117952189,6.0
79,C1(CNC2=CC=C(C(OC)=C2)OC)=CC2=CC3CCCC=3C=C2NC1=O,MCULE-5834268960,H26P360,350.41800000000006,3.6461000000000015,2.0,4.0,63.35,0.7372774929412925,5.0
80,C12=NN=C(SCC(OC)=O)N1C1=C(C3=C(COC(C(C)C)C3)S1)C(=O)N2C1C=CC=CC=1,MCULE-9396083679,H32P340,470.5760000000002,3.457300000000002,0.0,10.0,87.72000000000003,0.3260379984410862,5.0
81,N1(CCN(C2CCNCC2)C1=O)C(CC)=O,MCULE-1515691131,H16P040,225.292,0.4125999999999994,1.0,3.0,52.65,0.7404098725649935,2.0
82,C1(=CC=CN=C1NCC(N1CCCC1)C1=CC=CC=C1F)C(NC)=O,MCULE-2647997650,H25P280,342.418,2.829300000000001,2.0,4.0,57.260000000000005,0.8475343812489058,6.0
83,C(=O)(N1CCN(CC1)C(=O)CN1C=C(C=N1)NC(COC1=CC=CC=C1)=O)C1=CC=CC=C1OC,MCULE-2972385113,H35P180,477.5210000000002,1.8938,1.0,7.0,106.0,0.5312697559465449,8.0
84,N1C(C(OCC)=O)=COC=1N1CCC2=C(C(=NN2)C2C=CC=CC=2)CC1,MCULE-6403656642,H26P280,352.3940000000001,2.8466000000000014,1.0,6.0,84.25,0.7270168151060752,4.0
85,C1(C#N)SC2=C(C=CC=C2)C=1OCC1C=CC=C(Cl)C=1,MCULE-1098416914,H20P500,299.782,5.005380000000002,0.0,3.0,33.02,0.6811510666917634,3.0
86,C12C=C(CN3CCC(CC3)CCN3C=CC=N3)C=CC1=NSN=2,MCULE-5340061393,H23P310,327.457,3.190100000000002,0.0,6.0,46.84,0.7218946406731175,5.0
87,C12(C3=CC=CC=C3NC(N)=C1C(OCCCC)=O)C(=O)OC1CCCC(=O)C2=1,MCULE-7056455373,H28P240,382.4160000000002,2.4274000000000004,2.0,7.0,107.72,0.6080973788206766,4.0
88,CN(C1CCCCC1)CCNC(C1=C(F)C=CC=C1)=O,MCULE-3162340205,H20P280,278.37100000000004,2.820000000000001,1.0,2.0,32.34,0.8979730321262752,5.0
89,N1=C(C2=CC=C(C(Cl)=C2)Cl)CC(C(=O)NC2C(OC)=CC(=C(OC)C=2)Cl)O1,MCULE-9243999326,H27P470,429.6870000000002,4.795700000000002,1.0,5.0,69.15,0.7413557743347333,5.0
90,C(=O)(NN=CC1C=CC=C(OC)C=1OC)C(=O)NCC1=CC=CO1,MCULE-3772555480,H24P100,331.32800000000003,1.0632999999999992,2.0,6.0,102.16,0.4680941776745716,6.0
91,COC1=C(OC)C(OC)=C(C(NC2SC3=C(C=CC(=C3)Cl)N=2)=O)C=C1,MCULE-9170877875,H25P420,378.8370000000001,4.227800000000003,1.0,6.0,69.68,0.7190991075294424,5.0
92,[C@@]1(CNCCCC2C=CC=CC=2)(O)[C@@H](O)CCN(C(CCC2C=CC=CC=2)=O)C1,MCULE-1599941405,H29P210,396.5310000000002,2.1659,3.0,4.0,72.8,0.5682331753657452,9.0
