,protein_name,compound_name,smiles,pocket_name,pocket_com,affinity
64,6dlo,,C1(NC2C=CC=CC=2)N=C(SCC(=O)N2CCCC2)N=C(NC2C=CC=CC=2)N=1,protein_center,"-18.041,-13.011,7.779",3.5252323
65,6dlo,,N1=C(NCCCOC)C=C(NC2C=CC(C)=CC=2C)N=C1,protein_center,"-18.041,-13.011,7.779",4.1530514
66,6dlo,,C(=S)(NC1C=CC(=C(C)C=1)Cl)N(CCCN1CCCC1)CC1=CC=CO1,protein_center,"-18.041,-13.011,7.779",4.275937
67,6dlo,,N1(C(C)=O)N=C(CC1(O)C(C)(C)C)C(OC)=O,protein_center,"-18.041,-13.011,7.779",2.4856355
68,6dlo,,C1(C(C(O)=O)N(C)CC2C=COC=2)=C(C)N(N=C1C)C,protein_center,"-18.041,-13.011,7.779",1.8100164
69,6dlo,,CN(C(C1CC(NC(C2C3C(=C(C=CC=3)O)CCC2)=O)CCC1)=O)C,protein_center,"-18.041,-13.011,7.779",2.907879
70,6dlo,,C1(N=CC2C=CC=CC=2OC)SC2=C(CCC2)C=1C(OC)=O,protein_center,"-18.041,-13.011,7.779",3.3695128
71,6dlo,,C1(C=CC(=CC=1F)F)C(=O)NC1CCN(CC2C=CC(=NC=2)OC)C1,protein_center,"-18.041,-13.011,7.779",3.8739548
72,6dlo,,C1(=NN(C=N1)CC1=CC=CC(=C1)C(F)(F)F)NC(=O)C1C=CC=C(C)C=1,protein_center,"-18.041,-13.011,7.779",4.460775
73,6dlo,,N1(C2C=CC=C(C=2)NC(CCC)=O)CC(CC1=O)C(Cl)=O,protein_center,"-18.041,-13.011,7.779",2.2962472
74,6dlo,,C(OCC1=CC=CC=C1)(=O)NC1CCN(CCO)C1,protein_center,"-18.041,-13.011,7.779",2.1216795
75,6dlo,,C1(C(=O)N2CCN(CC2)C2C=CC=CC=2)=NOC(C2=CC=C(C=C2)C)=N1,protein_center,"-18.041,-13.011,7.779",4.2559147
76,6dlo,,C12=NN=C(SCC(=O)C3C=CC(=CC=3)OC)N1C1=C(C=CC(=C1)C(=O)NC(C)C)C(=O)N2CCC,protein_center,"-18.041,-13.011,7.779",3.2037153
77,6dlo,,O=S(C1C2C(=NSN=2)C=CC=1)(N1CCN(CC2=CC3=C(OCO3)C=C2)CC1)=O,protein_center,"-18.041,-13.011,7.779",3.8630059
78,6dlo,,C(NCCC1C=CC=CC=1)(=O)C(C)OC1=CC=CC=C1,protein_center,"-18.041,-13.011,7.779",2.759938
79,6dlo,,C1(CNC2=CC=C(C(OC)=C2)OC)=CC2=CC3CCCC=3C=C2NC1=O,protein_center,"-18.041,-13.011,7.779",4.147274
80,6dlo,,C12=NN=C(SCC(OC)=O)N1C1=C(C3=C(COC(C(C)C)C3)S1)C(=O)N2C1C=CC=CC=1,protein_center,"-18.041,-13.011,7.779",3.6502306
81,6dlo,,N1(CCN(C2CCNCC2)C1=O)C(CC)=O,protein_center,"-18.041,-13.011,7.779",1.6475877
82,6dlo,,C1(=CC=CN=C1NCC(N1CCCC1)C1=CC=CC=C1F)C(NC)=O,protein_center,"-18.041,-13.011,7.779",4.450197
83,6dlo,,C(=O)(N1CCN(CC1)C(=O)CN1C=C(C=N1)NC(COC1=CC=CC=C1)=O)C1=CC=CC=C1OC,protein_center,"-18.041,-13.011,7.779",4.698374
84,6dlo,,N1C(C(OCC)=O)=COC=1N1CCC2=C(C(=NN2)C2C=CC=CC=2)CC1,protein_center,"-18.041,-13.011,7.779",3.134737
85,6dlo,,C1(C#N)SC2=C(C=CC=C2)C=1OCC1C=CC=C(Cl)C=1,protein_center,"-18.041,-13.011,7.779",5.5153503
86,6dlo,,C12C=C(CN3CCC(CC3)CCN3C=CC=N3)C=CC1=NSN=2,protein_center,"-18.041,-13.011,7.779",3.6514368
87,6dlo,,C12(C3=CC=CC=C3NC(N)=C1C(OCCCC)=O)C(=O)OC1CCCC(=O)C2=1,protein_center,"-18.041,-13.011,7.779",2.9124994
88,6dlo,,CN(C1CCCCC1)CCNC(C1=C(F)C=CC=C1)=O,protein_center,"-18.041,-13.011,7.779",4.0745006
89,6dlo,,N1=C(C2=CC=C(C(Cl)=C2)Cl)CC(C(=O)NC2C(OC)=CC(=C(OC)C=2)Cl)O1,protein_center,"-18.041,-13.011,7.779",4.230798
90,6dlo,,C(=O)(NN=CC1C=CC=C(OC)C=1OC)C(=O)NCC1=CC=CO1,protein_center,"-18.041,-13.011,7.779",2.738837
91,6dlo,,COC1=C(OC)C(OC)=C(C(NC2SC3=C(C=CC(=C3)Cl)N=2)=O)C=C1,protein_center,"-18.041,-13.011,7.779",4.251679
92,6dlo,,[C@@]1(CNCCCC2C=CC=CC=2)(O)[C@@H](O)CCN(C(CCC2C=CC=CC=2)=O)C1,protein_center,"-18.041,-13.011,7.779",3.8203998
93,6dlo,,C1(=CC=CC=C1)S(=O)(=O)NC1=CC=C(CC2C=CC(NS(=O)(=O)C3C=CC=CC=3)=CC=2)C=C1,protein_center,"-18.041,-13.011,7.779",4.9826527
94,6dlo,,COC(C1OC(CSC2NN=C(C3SC=CC=3)N=2)=CC=1)=O,protein_center,"-18.041,-13.011,7.779",2.2932124
95,6dlo,,C12C(=NC=NC=1C1=C(N=C(C3COC(C)(C)CC1=3)C)O2)N1CCC(CC1)C,protein_center,"-18.041,-13.011,7.779",4.0164456
96,6dlo,,O=C(C1C(I)=CC=CC=1C)Cl,protein_center,"-18.041,-13.011,7.779",2.2244842
97,6dlo,,C=CN1C2=CC=C(Br)C=C2C2(CC2)C1=O,protein_center,"-18.041,-13.011,7.779",2.9826047
98,6dlo,,CC1S(=O)(=O)CCN(C(C2=C(Br)C=CC=C2)=O)CC1,protein_center,"-18.041,-13.011,7.779",1.8594482
99,6dlo,,CC1CN(C(C(NC2CN(C3C(=O)NC=CN=3)CCC2)=O)=O)CCC1,protein_center,"-18.041,-13.011,7.779",3.1341217
100,6dlo,,C1(C#N)C2CCCC=2C(=NC=1OCCOC)C1C=CC=CC=1,protein_center,"-18.041,-13.011,7.779",3.81432
101,6dlo,,[C@H]1(OC2=CC=C(C=C2)[C@@]2([H])C[C@@H]([C@]3([C@@]([H])(CCC3)O2)[H])NC(C(C)C)=O)O[C@H](CO)[C@H]([C@H](O)[C@@H]1O)O,protein_center,"-18.041,-13.011,7.779",3.6102803
102,6dlo,,C1(C(=O)N2CC[C@@H]([C@@H](OC3C=CC(=CC=3)F)CC2)O)C=C(ON=1)C1C=CC(=CC=1)C,protein_center,"-18.041,-13.011,7.779",4.5544453
103,6dlo,,S(C1C=CC=CC=1)(=O)(=O)NN=C(C)C1C=CC(=CC=1)NC(=O)C1=CC=CS1,protein_center,"-18.041,-13.011,7.779",3.412405
104,6dlo,,C12=CC(=NN1C=NN(CC(=O)NCC1CCCO1)C2=O)C1C=CC=CC=1,protein_center,"-18.041,-13.011,7.779",2.6686192
105,6dlo,,N1(CCN(CC1)C1=CC=CC=C1NC(COC1=CC=CC=C1Cl)=O)C(C)=O,protein_center,"-18.041,-13.011,7.779",4.082119
106,6dlo,,C(=O)(C1C=NC(=NC=1)CC)N1CCC(CC1)N(C)CC1=CC=CC=C1,protein_center,"-18.041,-13.011,7.779",3.6845956
107,6dlo,,C1(C2=CC=C(C=C2)O)OC2C=CC=CC=2C(=O)C=1,protein_center,"-18.041,-13.011,7.779",3.5041013
108,6dlo,,N1(CC(=O)NC2C=CC(=CC=2)C)C(=O)C(NC1=O)=CC1=CC=CC(C)=C1,protein_center,"-18.041,-13.011,7.779",4.4217396
109,6dlo,,C12=NN(C(=O)N1C=CC=C2S(=O)(=O)N1CCCCC1)CC1C=CC=C(F)C=1,protein_center,"-18.041,-13.011,7.779",3.4113665
110,6dlo,,C1(=C(C)C=C(N(CC(=O)NC2=CC=CC=C2C(F)(F)F)C1=O)C)S(=O)(=O)C1=CC=C(C=C1)C,protein_center,"-18.041,-13.011,7.779",5.570304
111,6dlo,,C1(C)C2=C(O)C=C(C=C2OC(=O)C=1CC(=O)N[C@H](C)C(O)=O)C,protein_center,"-18.041,-13.011,7.779",1.7204032
112,6dlo,,CC1C=CC2C(=CC(=CC=2)I)N=1,protein_center,"-18.041,-13.011,7.779",3.2482476
113,6dlo,,N[C@@H]1C2C=C(C(=CC=2CC1)Br)F,protein_center,"-18.041,-13.011,7.779",2.4055204
114,6dlo,,C1=CC(C(O)(C2C(OC)=CC=CC=2)CCN2CCCCC2)=CC=C1OCCC,protein_center,"-18.041,-13.011,7.779",4.367915
115,6dlo,,N1=C(C(F)(F)F)C=C(C2C=CC(=C(F)C=2)O)N1C1C=CC(=CC=1)S(N)(=O)=O,protein_center,"-18.041,-13.011,7.779",3.7570703
116,6dlo,,N1C(C2C=CC=C(C=2)C(F)(F)F)=NOC=1C1=CC=C(O1)CS(=O)(=O)C1C=CC(=C(C)C=1)C,protein_center,"-18.041,-13.011,7.779",5.269169
117,6dlo,,C1(=CN(N=N1)CC1(O)CCN(CC1)C(=O)CC1CCCC1)C(=O)N1CCOCC1,protein_center,"-18.041,-13.011,7.779",3.689294
118,6dlo,,N1=C(CCC(=O)NCC23CCC=C2N(C(=O)CC3)C)ON=C1C1=CC=CC=C1,protein_center,"-18.041,-13.011,7.779",3.1313393
119,6dlo,,CN1CCN(CCNC(C2=CC(C(F)(F)F)=CC(N(=O)=O)=C2)=O)CC1,protein_center,"-18.041,-13.011,7.779",3.7663155
120,6dlo,,[C@H]1(NC(=O)NC2=CC=CC=C2C2=CC=CC=C2)[C@@H]2CCO[C@@H]2[C@H]1COC,protein_center,"-18.041,-13.011,7.779",3.850017
121,6dlo,,C1(=CC=CC(C)=C1OC)C(=O)N1CCN(CC1)C1C=CC(=C(NCCC2=CC=CC=C2)C=1)N(=O)=O,protein_center,"-18.041,-13.011,7.779",4.683178
122,6dlo,,N1=C(CSC2=NC=CC=N2)N(N=C1C1CCCC1)CC,protein_center,"-18.041,-13.011,7.779",3.093204
123,6dlo,,N1(CC(=O)N2CCN(CC2)C2C(=CC=CN=2)C)C(C)=CC(=NC1=O)C,protein_center,"-18.041,-13.011,7.779",2.7998388
124,6dlo,,S(=O)(=O)(C1=CC=C2C(=C1)N(C)C(C(=O)N2C)=O)N(C)CC(=O)NC1=CC=C(C=C1)C(C)C,protein_center,"-18.041,-13.011,7.779",4.2618637
125,6dlo,,C1(C(=O)NC(C)C)N=C(N2C[C@H]3CC[C@@H](CC2=1)N3C(=O)C1C=CC(=CN=1)F)C1C=CC=CC=1,protein_center,"-18.041,-13.011,7.779",4.6172533
126,6dlo,,C1(SCC(=O)NC2C=CC(=CC=2C)C)SC2=C(C=CC(=C2)N=CC2C=CC=C(C=2)N(=O)=O)N=1,protein_center,"-18.041,-13.011,7.779",5.972228
127,6dlo,,O=C(NCCCN1N=CC=C1)CC1=CC2=C(C=CC=C2)C=C1,protein_center,"-18.041,-13.011,7.779",3.6531315
128,6dlo,,OC1C(N2CCN(CC3CCC(C(F)(F)F)CC3)CC2)CS(=O)(=O)C1,protein_center,"-18.041,-13.011,7.779",2.7876878
129,6dlo,,C1(=CC(=CC=C1N1CCNCC1)NC(=O)/C=C/C1=CC=C(C2C=CC(=CC=2)F)O1)N(=O)=O,protein_center,"-18.041,-13.011,7.779",4.641412
130,6dlo,,N1(C2=CC=CC=C2N(=O)=O)C=C(C(OCC)=O)C(C2C=C(N(=O)=O)C(Cl)=CC1=2)=O,protein_center,"-18.041,-13.011,7.779",3.7617893
131,6dlo,,N1(C2C=CC=C3C=CC=CC=23)C(=O)C2C(C3CC2C(C3Br)Br)C1=O,protein_center,"-18.041,-13.011,7.779",2.2684364
132,6dlo,,CC1OC(C)CN(C(CN2C(C)CN(CC(O)(C)C)CC2)=O)C1,protein_center,"-18.041,-13.011,7.779",2.041853
133,6dlo,,C1(=CC=CC=C1OCCCC)C(=O)NNC(=O)C1C=CC(=CC=1)OCCC(C)C,protein_center,"-18.041,-13.011,7.779",4.517054
134,6dlo,,CC1=CC=C(C(CCC(NC2=CC(N(=O)=O)=C(C)C=C2)=O)=O)C=C1,protein_center,"-18.041,-13.011,7.779",4.6080923
